detection_index,frame_count,start_sample_2m,preamble_end_sample_2m,estimated_packet_end_sample_2m,header_ok,crc_valid,decoded_frame_hex,decoded_payload_len,grlora_snr_db,cfo_hz,sto,sfo,netid1,netid2,samples_per_symbol
85,86,1036443802,1037770906,1041965210,1,1,40 44 33 22 11 00 01 00 58 56 00 86 FE 79 3F C2 AE F2 11 1D 80 61 F4 74 5F BA 51 65 7A 78 56 34 12,33,-10.427800178527832,-128.33493041992188,309.04510498046875,-0.032892897725105286,8,16,65536
86,87,1048448481,1049775585,1053969889,1,1,40 44 33 22 11 00 01 00 58 57 00 A4 2A 12 8B 3B 25 7B 3A 85 D6 A0 C2 0E 56 C7 27 E6 65 78 56 34 12,33,-4.081702709197998,-127.30301666259766,301.69696044921875,-0.032628413289785385,8,16,65536
87,88,1060451155,1061778259,1065972563,1,1,40 44 33 22 11 00 01 00 58 58 00 34 D9 A5 67 2D 27 44 AA AD BA 76 0F C8 D8 39 04 38 39 78 56 34 12,33,-0.726532518863678,-127.3528823852539,426.64898681640625,-0.03264119476079941,8,16,65536
88,89,1072454768,1073781872,1077976176,1,1,40 44 33 22 11 00 01 00 58 59 00 98 D5 7F 4C 4F 9E 62 AE 0A 5E A3 DB 22 F2 9F 3C 03 AC 78 56 34 12,33,-1.5822869539260864,-127.37079620361328,367.8626403808594,-0.03264578804373741,8,16,65536
89,90,1084458792,1085785896,1089980200,1,1,40 44 33 22 11 00 01 00 58 5A 00 EE 52 0F E8 77 82 30 60 13 8F B3 86 25 B2 D8 AC 84 48 78 56 34 12,33,-2.4999139308929443,-127.30001068115234,342.4252624511719,-0.032627642154693604,8,16,65536
90,91,1096463590,1097790694,1101984998,1,1,40 44 33 22 11 00 01 00 58 5B 00 68 FB AC F5 46 C1 7D AB 47 0D 57 7B 2B BF 20 8A 7F D8 78 56 34 12,33,-1.3955076932907104,-127.30656433105469,293.64532470703125,-0.03262932226061821,8,16,65536
91,92,1108466215,1109793319,1113987623,1,1,40 44 33 22 11 00 01 00 58 5C 00 D0 A6 11 E2 AE D5 6E F5 B1 86 DD A2 2B 12 F7 ED C0 16 78 56 34 12,33,-1.993109107017517,-127.26072692871094,429.6014099121094,-0.03261757269501686,8,16,65536
92,93,1120470898,1121798002,1125992306,1,1,40 44 33 22 11 00 01 00 58 5D 00 D1 41 89 11 1E BB DD B4 B6 78 89 B3 DC A4 F9 BC 99 66 78 56 34 12,33,-2.195873260498047,-128.12705993652344,301.0191345214844,-0.03283961862325668,8,16,65536
93,94,1132474412,1133801516,1137995820,1,1,40 44 33 22 11 00 01 00 58 5E 00 44 17 00 97 B7 A6 41 07 82 50 66 06 B7 CA FF 9E 51 CF 78 56 34 12,33,-2.004570245742798,-126.98261260986328,374.419921875,-0.03254629299044609,8,16,65536
94,95,1144478725,1145805829,1150000133,1,1,40 44 33 22 11 00 01 00 58 5F 00 E6 1C B5 69 CC AE 25 A3 7D E0 FB 1B 45 B6 61 CE 13 33 78 56 34 12,33,-1.9903942346572876,-126.95663452148438,323.9437255859375,-0.03253963217139244,8,16,65536
